,likes_count,comments_count,common_friends_count,is_friend
819,1,0,0,1
4518,1,0,0,0
347,1,0,0,1
5691,1,0,0,1
822,1,0,0,0
265,1,0,0,1
6626,1,0,0,1
2466,3,0,2,0
1572,1,0,1,0
3864,1,0,1,0
5767,1,0,1,0
6669,1,0,0,1
872,2,0,1,1
288,1,0,0,1
5414,1,0,1,0
2280,1,0,2,0
480,6,0,3,0
5819,1,0,4,0
5475,4,2,1,0
4416,1,0,1,0
6324,3,0,2,0
1025,1,0,0,0
6657,6,0,0,1
1722,1,0,0,1
3933,5,0,1,0
2049,4,0,1,0
928,1,0,0,1
2286,1,0,0,0
6084,1,0,1,0
6570,4,0,0,1
3619,3,0,2,0
6053,3,0,1,0
1589,1,0,1,0
5649,1,0,0,1
5010,1,0,0,1
6610,1,0,0,1
2545,3,0,1,0
5319,3,0,0,0
3831,4,0,0,1
5693,1,0,2,0
1652,1,0,1,0
2125,2,0,0,0
2053,1,0,1,0
2446,3,0,0,1
709,1,0,1,1
5554,1,0,1,0
5971,2,0,2,0
3298,2,0,1,0
2573,1,0,1,0
2176,2,0,1,0
4628,1,0,0,0
3882,17,0,1,0
1693,1,0,1,1
5026,2,0,0,1
5832,2,0,0,0
6959,10,0,0,1
6955,1,0,0,1
209,1,0,1,1
3255,6,0,0,1
6326,1,0,2,0
3628,3,0,1,0
2479,2,0,0,0
5639,1,0,1,0
5052,1,0,2,0
5997,3,0,0,0
4035,1,0,1,0
3943,2,0,0,1
1096,3,0,0,1
4590,10,0,0,0
4673,3,0,0,1
4250,1,0,0,0
141,2,0,0,1
1476,3,0,4,0
3267,2,0,0,1
5845,3,0,0,0
1381,4,0,0,0
5772,1,0,1,0
3710,2,0,2,0
5310,3,0,1,0
3120,1,0,1,0
5236,1,0,0,1
307,1,0,0,1
1849,2,0,2,0
3410,1,0,1,0
5911,1,0,2,0
4560,1,0,1,0
5300,2,0,0,0
4654,4,0,0,0
110,2,0,3,0
1612,1,0,0,0
2207,1,0,1,0
6384,2,0,1,0
3784,1,0,1,0
1471,1,0,3,0
1802,1,0,2,0
4123,1,0,0,0
3817,2,0,0,1
77,8,0,0,1
6322,1,0,0,0
89,1,0,0,0
5024,1,0,1,0
4214,1,0,1,0
5222,1,0,0,1
5256,1,0,1,0
2183,4,0,0,0
3811,1,0,0,1
1911,1,0,0,1
5885,1,0,1,0
2415,1,0,0,1
5527,5,0,0,1
1998,1,0,1,0
6245,1,0,0,1
2824,1,0,0,1
3775,7,0,0,0
74,1,0,2,0
6598,1,0,0,1
1900,1,0,0,1
774,1,0,0,1
82,3,0,0,1
2353,1,0,1,0
3674,10,0,2,0
1047,6,0,0,1
3493,3,0,1,0
681,5,0,0,1
5160,2,0,1,0
5519,0,1,1,0
4820,4,0,0,1
122,2,0,4,0
550,3,0,0,0
1910,5,0,0,1
5663,1,0,0,1
690,1,0,0,1
6046,2,0,0,1
1418,5,0,0,0
820,1,0,0,1
6237,1,0,0,1
1452,2,0,0,1
6280,6,0,0,1
5600,2,0,1,0
4317,3,0,1,0
5112,2,0,1,0
1878,1,0,0,1
4696,1,0,0,1
2521,4,0,1,0
3939,1,0,0,0
1500,1,0,0,1
6339,2,0,2,0
5580,3,0,1,0
2163,3,0,1,0
6480,2,0,0,0
1223,4,0,0,1
6674,5,0,0,0
1149,4,0,0,1
3624,3,0,1,0
4228,1,0,1,0
2561,1,0,0,0
4903,1,0,0,1
6497,3,0,0,1
6855,1,0,0,1
6063,2,0,0,0
4296,3,0,0,1
4239,1,0,0,0
3502,10,1,0,1
460,2,0,0,1
6729,1,0,0,1
4566,1,1,1,0
2258,1,0,0,0
3633,3,0,3,0
913,2,0,0,1
1243,1,0,0,1
4159,2,0,1,1
4997,1,0,0,1
5050,3,0,1,0
6658,1,0,0,1
4333,2,0,1,0
5041,1,0,1,0
3962,1,0,1,1
1901,3,0,0,1
1172,6,0,0,1
5121,1,0,1,0
5774,2,0,1,0
4203,20,0,8,0
5379,4,0,0,0
3841,4,0,0,1
2275,1,0,2,0
38,1,0,2,0
3081,3,0,1,0
1712,1,0,0,0
6432,1,0,0,1
2768,1,0,0,1
6107,1,0,0,0
2681,1,0,0,1
3793,2,0,0,1
2700,1,0,0,1
5079,1,0,2,0
5735,1,0,1,0
90,1,0,0,1
5110,1,0,1,0
6672,1,0,0,1
6518,6,0,1,0
4556,2,0,8,0
5589,2,0,1,0
6752,1,0,0,1
5515,6,2,1,0
5718,3,0,1,0
380,1,0,0,0
2040,1,0,1,0
4798,1,0,0,1
329,1,0,0,1
6914,1,1,1,0
6535,2,0,0,1
475,2,0,1,0
1576,1,0,2,0
1560,1,0,0,0
1554,1,0,0,0
6671,1,0,1,0
2955,1,1,0,0
1114,1,0,0,0
3956,3,0,0,1
3173,1,0,1,0
76,1,0,0,1
368,1,0,9,1
6317,2,0,0,0
3262,2,0,0,1
3233,1,0,1,0
5988,4,2,959,0
4614,1,0,603,0
1928,4,0,0,1
1510,1,0,0,1
4058,1,0,2500,0
2012,5,0,2,0
3311,1,0,0,0
6823,4,1,0,1
2847,1,0,0,1
3391,2,0,2,0
4632,1,0,1,0
769,2,0,1,1
1305,1,0,0,0
2393,1,2,0,1
1002,1,0,0,0
1443,1,0,0,0
4709,1,0,1,0
1632,6,0,1,0
4901,2,0,1,0
4183,1,0,1,1
2252,1,0,1,0
726,1,0,0,1
4883,1,0,1,0
3406,1,0,0,1
1680,1,0,1,0
2826,5,0,0,1
5476,8,0,1,0
4083,1,0,0,1
3341,3,0,0,0
1056,1,0,0,1
4059,3,0,0,1
7000,2,0,1,0
5101,1,0,1,0
6787,1,0,20,0
3666,1,0,0,1
2,1,0,0,1
6810,1,0,0,0
5114,1,0,0,0
6111,4,0,0,1
3394,1,0,1,0
5603,5,0,1,0
5323,1,0,0,1
6532,2,0,0,1
3402,1,0,0,1
5330,2,0,0,1
160,4,1,0,1
6457,2,2,0,1
3118,4,0,0,1
1818,2,0,2,0
1044,2,0,0,1
5827,8,0,1,0
5251,5,0,0,0
1843,4,0,0,0
4330,8,0,3,0
3151,1,0,0,0
5451,6,0,1,0
1833,8,0,2,0
2588,1,0,2,0
1613,5,0,1,0
3307,2,0,1,0
1440,1,0,3,0
3014,1,0,1,0
4066,1,0,3,0
3664,10,0,1,0
3537,2,0,0,1
4953,1,0,1,0
6614,3,0,0,1
5009,1,0,0,1
3625,1,0,2,0
4018,1,0,1,0
3612,1,0,2,0
2228,1,0,2,0
1837,1,0,1,0
4283,1,0,0,1
6984,4,0,0,1
4171,2,0,0,1
3242,3,0,2,0
5970,1,0,1,0
3100,2,0,1,0
6048,1,0,1,0
1825,7,0,1,0
468,1,0,1,0
3832,1,0,0,1
6543,2,0,0,1
233,1,0,0,0
6849,5,0,1,0
6826,2,0,1,0
5477,1,0,0,1
1776,1,0,1,0
5736,5,0,1,0
3804,3,0,0,1
4935,1,0,0,0
773,1,1,0,1
2310,10,0,1,0
856,4,0,0,1
2115,1,0,1,0
240,7,0,0,1
1330,1,0,1,1
514,3,1,0,1
3078,2,0,0,1
4496,2,0,1,0
6779,2,0,1,0
2099,4,0,1,0
5959,1,0,1,0
6152,8,1,1,0
5472,1,0,1,0
1124,1,0,22,0
3806,2,0,0,0
3610,3,0,5,0
6575,1,0,0,1
2797,4,0,0,1
3344,1,0,1,0
6485,1,0,0,1
