,likes_count,comments_count,common_friends_count,is_friend
6291,6,0,2,0
1715,1,0,0,1
6793,1,0,2,0
6756,4,0,2,0
4618,3,0,1,0
362,1,0,0,1
5627,1,0,0,1
6628,5,0,0,1
457,1,0,1,1
1357,2,0,1,0
2946,1,0,0,0
909,1,0,0,1
4394,1,0,0,1
1362,1,0,0,1
5111,1,0,2,0
4891,1,0,1,0
2752,3,0,0,1
4489,1,0,0,1
2337,2,0,0,1
1595,4,0,3,0
4652,1,0,0,0
6696,1,0,1,0
6287,1,0,1,0
4271,1,0,1,0
1879,1,0,0,1
2205,9,0,1,0
6381,5,0,0,1
1528,2,0,0,1
4545,1,0,0,0
408,1,0,0,0
5681,1,0,1,0
5313,2,0,0,1
1790,1,0,0,0
5674,2,0,0,0
3891,8,0,0,0
3749,2,0,0,0
1885,1,0,0,1
6765,2,0,0,1
6115,6,0,1,0
182,1,0,2,0
267,7,0,2,0
1873,0,1,0,1
5060,1,0,2,0
4460,1,0,0,1
6988,1,1,153,0
4688,2,0,0,0
3275,5,0,2,0
6748,1,0,0,1
5500,3,0,0,0
5934,2,0,1,0
3086,3,0,1,1
6759,1,0,0,1
3393,1,0,1,0
4113,4,0,2,0
4925,2,0,1,0
4136,1,0,1,0
1161,1,0,0,1
4864,6,0,1,0
6081,1,0,1,0
2338,1,0,0,1
6440,2,0,0,0
206,1,0,2,1
6996,1,0,0,1
70,1,0,3,0
3984,10,0,1,0
5538,1,0,1,0
4840,0,1,0,0
5567,1,0,0,1
1540,1,0,3,0
3079,1,0,1,0
2001,1,0,1,0
5232,4,1,0,1
1988,1,0,1,0
4758,3,0,0,0
4577,5,0,1,0
912,1,0,0,1
4459,1,0,1,0
1703,1,1,0,1
2308,1,0,1,0
6740,2,0,0,1
3011,1,0,1,0
4290,1,0,0,1
618,1,0,0,0
1374,1,0,0,0
4852,3,0,0,1
5563,1,1,0,1
6198,2,0,0,1
5389,2,0,0,0
4152,1,0,1,0
346,1,0,0,1
5591,1,0,1,0
1665,1,0,2,0
522,1,0,1,0
1716,5,0,2,0
2109,1,0,1,0
3972,3,0,0,1
3597,1,0,0,0
6138,2,0,1,0
6911,7,0,1,0
5840,2,0,1,0
703,6,0,0,1
6155,2,1,1,0
3792,1,0,0,1
3315,4,0,3,0
3064,3,0,1,0
2696,3,0,0,1
5550,1,0,0,0
6879,1,0,0,0
1444,1,0,2,0
4142,1,0,2,0
2166,1,0,0,0
1310,3,0,0,1
3136,1,0,1,0
1841,3,0,1,0
1509,1,0,1,0
5226,3,0,1,0
1917,1,0,0,1
2067,2,0,1,0
6620,1,0,0,1
4580,5,0,0,1
1947,2,0,1,0
3770,0,1,3,0
6251,4,1,0,1
2374,5,1,0,1
6719,1,0,1,0
599,1,0,0,0
